symbol,asd,devreg,cns,housekeeping,gene_len,protein_len,transcripts,te,rvis
DCUN1D5,no link,non-devreg,non-CNS,housekeeping,41532,237,2,68,-0.01
DCX,no link,non-devreg,CNS,luxury,117368,441,10,171,-0.1
DCXR,no link,non-devreg,non-CNS,luxury,1817,244,4,0,0.04
DDA1,no link,non-devreg,non-CNS,housekeeping,13770,102,2,28,-0.01
DDAH1,no link,Devreg,non-CNS,luxury,146722,285,4,207,-0.1
DDAH2,no link,non-devreg,non-CNS,luxury,3223,285,6,1,-0.05
DDB1,no link,non-devreg,non-CNS,housekeeping,33766,1140,2,54,-1.11
DDB2,no link,non-devreg,non-CNS,housekeeping,24277,427,4,63,-0.03
DDC,no link,non-devreg,non-CNS,luxury,102635,480,14,139,0.38
DDHD1,no link,Devreg,non-CNS,luxury,116589,900,6,154,-0.07
DDHD2,no link,Devreg,non-CNS,luxury,30817,711,6,61,-0.15
DDI1,no link,non-devreg,non-CNS,luxury,2615,396,2,0,0.78
DDI2,no link,non-devreg,non-CNS,luxury,43600,399,2,86,-0.36
DDIAS,no link,non-devreg,non-CNS,luxury,32963,998,2,47,0.16
DDIT3,no link,Devreg,non-CNS,luxury,3930,192,12,5,0.24
DDIT4,no link,non-devreg,CNS,luxury,2121,232,2,0,-0.32
DDIT4L,no link,non-devreg,non-CNS,luxury,4629,193,2,2,-0.12
DDN,no link,non-devreg,non-CNS,luxury,4156,711,2,2,0.0
DDO,no link,non-devreg,non-CNS,luxury,23371,369,4,33,2.25
DDOST,no link,non-devreg,non-CNS,housekeeping,9778,456,2,12,-0.4
DDR1,no link,non-devreg,non-CNS,luxury,11469,919,18,8,-1.26
DDR2,asd-linked,Devreg,non-CNS,luxury,148020,855,4,213,-0.78
DDRGK1,no link,non-devreg,non-CNS,housekeeping,14284,314,2,25,0.17
DDT,no link,non-devreg,non-CNS,luxury,3127,118,4,4,NA
DDTL,no link,non-devreg,non-CNS,luxury,5723,134,2,7,NA
DDX1,no link,non-devreg,non-CNS,housekeeping,39491,740,2,54,-0.6
DDX10,no link,non-devreg,non-CNS,housekeeping,275833,875,2,398,-0.48
DDX11,no link,non-devreg,non-CNS,luxury,30947,970,10,36,1.03
DDX17,no link,Devreg,non-CNS,housekeeping,22903,731,4,31,-0.52
DDX18,no link,non-devreg,non-CNS,housekeeping,17699,670,2,10,1.0
DDX19A,no link,non-devreg,non-CNS,housekeeping,26458,478,2,67,-0.14
DDX19B,no link,non-devreg,non-CNS,housekeeping,34674,479,14,97,0.04
DDX20,no link,non-devreg,non-CNS,luxury,12010,824,2,12,1.73
DDX21,no link,non-devreg,non-CNS,housekeeping,28947,783,4,52,-0.4
DDX23,no link,non-devreg,non-CNS,housekeeping,22419,820,2,41,-0.98
DDX24,no link,non-devreg,non-CNS,housekeeping,30291,859,2,52,1.34
DDX25,no link,non-devreg,non-CNS,luxury,18746,483,2,31,-0.45
DDX26B,no link,non-devreg,non-CNS,luxury,61906,861,2,70,-0.07
DDX27,no link,non-devreg,non-CNS,housekeeping,24783,796,2,60,-0.06
DDX28,no link,non-devreg,non-CNS,luxury,2594,540,2,0,0.31
DDX31,no link,non-devreg,non-CNS,luxury,76113,851,4,93,1.0
DDX39A,no link,non-devreg,non-CNS,luxury,10586,427,2,17,-0.58
DDX39B,no link,Devreg,non-CNS,housekeeping,12257,428,4,13,-0.12
DDX3X,no link,non-devreg,non-CNS,housekeeping,16874,662,6,7,-0.12
DDX3Y,no link,non-devreg,non-CNS,luxury,15692,660,6,6,NA
DDX4,no link,non-devreg,non-CNS,luxury,79130,724,8,133,-0.31
DDX41,no link,non-devreg,non-CNS,housekeeping,5390,622,2,3,-1.09
DDX42,no link,non-devreg,non-CNS,housekeeping,45111,938,4,85,-1.0
DDX43,no link,non-devreg,non-CNS,luxury,23005,648,2,37,0.71
DDX46,no link,non-devreg,non-CNS,housekeeping,72352,1031,4,184,-1.11
DDX47,no link,non-devreg,non-CNS,housekeeping,16775,455,4,33,-0.91
DDX49,no link,non-devreg,non-CNS,housekeeping,8959,483,2,15,-0.18
DDX5,no link,Devreg,non-CNS,luxury,8111,614,2,0,-0.71
DDX50,no link,non-devreg,non-CNS,luxury,45570,737,2,121,-0.56
DDX51,no link,non-devreg,non-CNS,luxury,7741,666,2,6,0.16
DDX52,no link,non-devreg,non-CNS,luxury,31131,599,4,60,0.05
DDX53,no link,non-devreg,non-CNS,luxury,2129,631,2,0,0.42
DDX54,no link,non-devreg,non-CNS,housekeeping,28307,882,4,73,0.37
DDX55,no link,non-devreg,non-CNS,luxury,18811,600,2,42,-0.11
DDX56,no link,non-devreg,non-CNS,housekeeping,9122,547,4,6,-0.53
DDX58,no link,non-devreg,non-CNS,luxury,71023,925,2,121,0.05
DDX59,no link,non-devreg,non-CNS,housekeeping,25962,619,2,52,1.07
DDX6,no link,Devreg,non-CNS,luxury,43185,483,4,88,-0.21
DDX60,no link,non-devreg,non-CNS,luxury,102517,1712,2,146,-0.31
DDX60L,no link,non-devreg,non-CNS,luxury,123753,1706,4,180,2.62
DEAF1,no link,Devreg,non-CNS,luxury,51516,565,4,108,-0.89
1-Dec,no link,non-devreg,non-CNS,luxury,260827,70,2,474,0.44
DECR1,no link,non-devreg,non-CNS,luxury,50648,335,2,66,-0.03
DECR2,no link,non-devreg,non-CNS,luxury,10630,292,2,16,-0.24
DEDD,no link,non-devreg,non-CNS,housekeeping,11488,318,6,14,-0.05
DEDD2,no link,non-devreg,non-CNS,luxury,21560,326,6,47,-0.21
DEF6,no link,non-devreg,non-CNS,luxury,23954,631,2,56,0.24
DEF8,no link,non-devreg,non-CNS,housekeeping,19330,512,18,30,-0.02
DEFA1,no link,non-devreg,non-CNS,luxury,2444,94,2,3,NA
DEFA1B,no link,non-devreg,non-CNS,luxury,2437,94,4,3,NA
DEFA4,no link,non-devreg,non-CNS,luxury,2442,97,2,2,0.48
DEFA5,no link,non-devreg,non-CNS,luxury,1431,94,2,2,-0.01
DEFA6,no link,non-devreg,non-CNS,luxury,1383,100,2,2,0.75
DEFB1,no link,non-devreg,non-CNS,luxury,7433,68,2,21,-0.07
DEFB103A,no link,non-devreg,non-CNS,luxury,1455,67,2,1,NA
DEFB103B,no link,non-devreg,non-CNS,luxury,1455,67,2,1,NA
DEFB104A,no link,non-devreg,non-CNS,luxury,4772,72,2,7,0.61
DEFB104B,no link,non-devreg,non-CNS,luxury,4775,72,2,7,NA
DEFB105A,no link,non-devreg,non-CNS,luxury,1831,78,2,2,NA
DEFB105B,no link,non-devreg,non-CNS,luxury,1831,78,2,2,NA
DEFB106A,no link,non-devreg,non-CNS,luxury,3882,65,2,3,NA
DEFB106B,no link,non-devreg,non-CNS,luxury,3884,65,2,3,NA
DEFB107A,no link,non-devreg,non-CNS,luxury,3997,70,2,5,NA
DEFB107B,no link,non-devreg,non-CNS,luxury,13466,70,2,9,NA
DEFB108B,no link,non-devreg,non-CNS,luxury,4363,73,2,7,1.37
DEFB110,no link,non-devreg,non-CNS,luxury,3139,67,4,3,-0.16
DEFB112,no link,non-devreg,non-CNS,luxury,5077,113,2,6,0.01
DEFB113,no link,non-devreg,non-CNS,luxury,949,82,2,0,-0.14
DEFB114,no link,non-devreg,non-CNS,luxury,3814,69,2,4,-0.01
DEFB115,no link,non-devreg,non-CNS,luxury,1969,88,2,2,0.21
DEFB116,no link,non-devreg,non-CNS,luxury,5374,102,2,7,0.35
DEFB118,no link,non-devreg,non-CNS,luxury,5285,123,2,10,0.3
DEFB119,no link,non-devreg,non-CNS,luxury,1682,88,6,0,0.46
DEFB121,no link,non-devreg,non-CNS,luxury,7994,64,4,16,-0.08
DEFB123,no link,non-devreg,non-CNS,luxury,9650,67,2,27,-0.01
DEFB124,no link,non-devreg,non-CNS,luxury,7508,71,2,16,0.77
DEFB125,no link,non-devreg,non-CNS,luxury,8946,156,2,18,0.33
DEFB126,no link,non-devreg,non-CNS,luxury,3141,111,2,3,0.26
DEFB127,no link,non-devreg,non-CNS,luxury,1694,99,2,1,0.66
DEFB128,no link,non-devreg,non-CNS,luxury,1738,93,2,1,1.08
DEFB129,no link,non-devreg,non-CNS,luxury,2629,183,2,3,0.39
DEFB130,no link,non-devreg,non-CNS,luxury,7355,79,2,3,NA
DEFB131,no link,non-devreg,non-CNS,luxury,5981,70,2,10,0.59
DEFB132,no link,non-devreg,non-CNS,luxury,3360,95,2,3,1.17
DEFB133,no link,non-devreg,non-CNS,luxury,3344,61,2,2,NA
DEFB135,no link,non-devreg,non-CNS,luxury,2270,77,2,1,0.15
DEFB136,no link,non-devreg,non-CNS,luxury,663,78,2,0,-0.19
DEFB4A,no link,non-devreg,non-CNS,luxury,2039,64,2,0,NA
DEFB4B,no link,non-devreg,non-CNS,luxury,1970,64,2,0,NA
DEGS1,no link,non-devreg,non-CNS,housekeeping,10233,323,2,23,-0.12
DEGS2,no link,non-devreg,non-CNS,luxury,13260,323,2,17,0.4
DEK,no link,non-devreg,non-CNS,housekeeping,40400,375,4,57,-0.38
DENND1A,no link,non-devreg,non-CNS,housekeeping,550485,1009,4,911,-1.46
DENND1B,no link,non-devreg,non-CNS,luxury,270745,775,8,282,-0.43
DENND1C,no link,non-devreg,non-CNS,luxury,14581,801,4,25,1.25
DENND2A,no link,non-devreg,non-CNS,luxury,84123,1009,2,177,-0.81
DENND2C,no link,non-devreg,non-CNS,luxury,85537,928,4,202,1.0
DENND2D,no link,non-devreg,non-CNS,luxury,18570,468,4,19,-0.29
DENND3,no link,non-devreg,non-CNS,luxury,67181,1198,2,91,-0.56
DENND4A,no link,non-devreg,non-CNS,housekeeping,131675,1906,4,252,-0.92
DENND4B,no link,non-devreg,non-CNS,luxury,17178,1496,2,18,-2.46
DENND4C,no link,non-devreg,non-CNS,luxury,143375,1909,2,344,-0.96
DENND5A,no link,non-devreg,non-CNS,luxury,126499,1287,4,298,-1.37
DENND5B,no link,non-devreg,non-CNS,luxury,208796,1274,2,409,-0.44
DENND6A,no link,non-devreg,non-CNS,luxury,67636,608,2,154,-0.03
DENND6B,no link,non-devreg,non-CNS,luxury,15098,585,2,22,-0.95
DENR,no link,non-devreg,non-CNS,housekeeping,18583,198,2,30,0.24
DEPDC1,no link,non-devreg,non-CNS,luxury,22965,811,4,29,-0.13
DEPDC1B,no link,non-devreg,non-CNS,luxury,103255,529,4,149,-0.6
DEPDC4,no link,non-devreg,non-CNS,luxury,14816,294,2,28,-0.18
DEPDC5,no link,non-devreg,non-CNS,luxury,153012,1603,10,361,-1.12
DEPDC7,asd-linked,non-devreg,non-CNS,luxury,17719,511,4,20,-0.07
DEPTOR,no link,non-devreg,non-CNS,luxury,177258,409,4,419,0.07
DERA,no link,non-devreg,non-CNS,housekeeping,126130,318,4,176,-0.43
DERL1,no link,non-devreg,non-CNS,housekeeping,29260,251,4,35,-0.05
DERL2,no link,non-devreg,non-CNS,housekeeping,11882,239,6,18,-0.14
DERL3,no link,non-devreg,non-CNS,luxury,4510,239,6,0,0.6
DES,no link,non-devreg,non-CNS,luxury,8363,470,2,9,-0.51
DESI1,no link,non-devreg,non-CNS,housekeeping,23030,168,2,49,-0.12
DESI2,no link,non-devreg,non-CNS,luxury,55983,194,4,100,0.21
DET1,no link,non-devreg,non-CNS,luxury,34331,561,4,50,-0.96
DEXI,no link,non-devreg,non-CNS,housekeeping,13510,95,2,28,0.08
DFFA,no link,non-devreg,non-CNS,housekeeping,12011,331,4,33,0.51
DFFB,no link,non-devreg,CNS,luxury,28149,338,4,57,-0.07
DFNA5,no link,non-devreg,non-CNS,luxury,59110,496,6,73,-0.13
DFNB31,no link,non-devreg,non-CNS,luxury,103377,907,6,207,0.64
DFNB59,no link,non-devreg,non-CNS,luxury,9948,352,2,9,-0.14
DGAT1,no link,non-devreg,non-CNS,luxury,12321,488,2,1,-0.84
DGAT2,no link,non-devreg,non-CNS,luxury,32804,388,4,60,0.35
DGAT2L6,no link,non-devreg,non-CNS,luxury,28218,337,2,47,-0.65
DGCR14,asd-linked,non-devreg,non-CNS,housekeeping,14399,476,2,13,0.47
DGCR2,no link,non-devreg,non-CNS,housekeeping,86173,550,8,166,-1.17
DGCR6,no link,non-devreg,non-CNS,luxury,5866,220,2,5,0.51
DGCR6L,no link,non-devreg,non-CNS,housekeeping,5868,220,2,5,0.04
DGCR8,asd-linked,non-devreg,non-CNS,luxury,31646,773,4,37,-1.0
DGKA,no link,non-devreg,non-CNS,luxury,21996,735,8,41,0.15
DGKB,no link,non-devreg,non-CNS,luxury,696402,804,4,740,-0.93
DGKD,no link,non-devreg,non-CNS,luxury,117591,1214,4,162,-2.34
DGKE,no link,non-devreg,non-CNS,luxury,34577,567,2,59,-0.38
DGKG,no link,non-devreg,non-CNS,luxury,215034,791,6,386,-1.52
DGKH,no link,non-devreg,non-CNS,luxury,181049,1220,12,259,-1.3
DGKI,no link,non-devreg,non-CNS,luxury,457225,1065,2,568,-1.04
DGKK,no link,non-devreg,non-CNS,luxury,101843,1271,2,124,NA
DGKQ,no link,non-devreg,non-CNS,luxury,14677,942,2,3,-2.68
DGKZ,no link,non-devreg,non-CNS,luxury,18960,1117,14,17,0.27
DGUOK,no link,Devreg,non-CNS,luxury,32136,277,4,57,-0.25
DHCR24,no link,non-devreg,non-CNS,luxury,37622,516,2,86,-0.82
DHCR7,no link,non-devreg,non-CNS,luxury,14021,475,4,13,-0.86
DHDDS,no link,non-devreg,non-CNS,luxury,39023,334,8,105,-0.09
DHDH,no link,non-devreg,non-CNS,luxury,11288,334,2,30,1.76
DHFR,no link,non-devreg,non-CNS,luxury,28756,187,6,53,0.15
DHFRL1,no link,non-devreg,non-CNS,luxury,5302,187,4,11,0.19
DHH,no link,non-devreg,non-CNS,luxury,5397,396,2,4,NA
DHODH,no link,Devreg,non-CNS,luxury,16674,395,2,31,0.04
DHPS,no link,non-devreg,non-CNS,housekeeping,6171,369,6,11,-0.53
DHRS1,no link,non-devreg,non-CNS,luxury,9236,313,4,14,-0.49
DHRS11,no link,non-devreg,non-CNS,luxury,9008,260,2,10,-0.18
DHRS12,no link,non-devreg,non-CNS,housekeeping,36170,317,6,47,0.62
DHRS13,no link,non-devreg,non-CNS,luxury,5291,377,2,12,-0.27
DHRS2,no link,non-devreg,non-CNS,luxury,9276,300,4,10,0.71
DHRS3,no link,non-devreg,non-CNS,luxury,49882,302,2,93,-0.34
DHRS4,no link,non-devreg,non-CNS,luxury,15524,278,12,20,0.49
DHRS4L1,no link,non-devreg,non-CNS,luxury,44369,150,2,51,NA
DHRS4L2,no link,non-devreg,non-CNS,luxury,14450,151,8,12,2.47
DHRS7,no link,non-devreg,non-CNS,luxury,20712,339,2,32,0.24
DHRS7B,no link,non-devreg,non-CNS,housekeeping,65045,325,2,139,-0.05
DHRS7C,no link,non-devreg,non-CNS,luxury,19864,312,4,48,0.2
DHRS9,no link,non-devreg,non-CNS,luxury,15061,319,8,17,0.66
DHRSX,no link,non-devreg,non-CNS,luxury,281461,330,4,582,0.46
DHTKD1,no link,non-devreg,non-CNS,luxury,54312,919,2,151,0.99
DHX15,no link,non-devreg,non-CNS,housekeeping,57097,795,2,59,-0.82
DHX16,no link,non-devreg,non-CNS,housekeeping,19935,1041,4,34,-0.02
DHX29,no link,non-devreg,non-CNS,housekeeping,51449,1369,2,81,-0.99
DHX30,no link,non-devreg,non-CNS,housekeeping,47288,1194,4,97,-1.51
DHX32,no link,non-devreg,non-CNS,housekeeping,44976,743,2,54,-0.51
DHX33,no link,non-devreg,non-CNS,housekeeping,28149,707,4,54,-0.17
DHX34,no link,non-devreg,non-CNS,luxury,33424,1143,2,85,-1.02
DHX35,no link,non-devreg,non-CNS,luxury,77386,703,4,124,-0.33
DHX36,no link,non-devreg,non-CNS,housekeeping,48830,1008,4,65,-1.06
DHX37,no link,non-devreg,non-CNS,luxury,42298,1157,2,105,-1.05
DHX38,no link,non-devreg,non-CNS,housekeeping,19197,1227,2,12,-1.14
DHX40,no link,non-devreg,non-CNS,luxury,42828,779,4,98,-0.8
DHX57,no link,non-devreg,non-CNS,luxury,78146,1386,2,180,-1.14
DHX58,no link,non-devreg,non-CNS,luxury,11330,678,2,15,-0.28
DHX8,no link,non-devreg,non-CNS,housekeeping,40347,1220,4,96,-1.06
DHX9,no link,non-devreg,non-CNS,housekeeping,48679,1270,2,72,-1.16
DIABLO,no link,non-devreg,non-CNS,housekeeping,19860,239,12,43,-0.21
DIAPH1,no link,Devreg,non-CNS,luxury,104035,1272,4,171,-1.24
DIAPH2,no link,non-devreg,non-CNS,luxury,915936,1101,4,1259,-1.0
DIAPH3,no link,non-devreg,non-CNS,luxury,498399,1193,14,647,0.19
DICER1,no link,Devreg,CNS,luxury,55521,1922,10,44,-1.52
DIDO1,no link,non-devreg,non-CNS,housekeeping,48814,2240,12,32,-1.41
DIEXF,no link,non-devreg,non-CNS,housekeeping,29599,756,2,40,1.03
DIMT1,no link,non-devreg,non-CNS,housekeeping,15378,313,2,30,-0.16
DIO1,no link,non-devreg,non-CNS,luxury,16899,201,8,38,-0.25
DIO2,no link,non-devreg,non-CNS,luxury,14103,273,10,2,0.04
DIO3,no link,Devreg,non-CNS,luxury,2102,304,2,0,-0.29
DIP2A,no link,non-devreg,non-CNS,luxury,111065,1571,12,176,-2.78
DIP2B,no link,non-devreg,non-CNS,luxury,243683,1576,2,521,-1.81
DIP2C,no link,non-devreg,non-CNS,luxury,415479,1556,2,329,-3.62
DIRAS1,no link,non-devreg,non-CNS,luxury,6826,198,2,5,-0.12
DIRAS2,no link,non-devreg,non-CNS,luxury,32995,199,2,47,-0.14
DIRAS3,no link,non-devreg,non-CNS,luxury,4837,229,2,2,-0.05
DIRC1,no link,non-devreg,non-CNS,luxury,56367,104,2,66,0.64
DIRC2,no link,non-devreg,non-CNS,housekeeping,86086,478,2,137,-0.29
DIS3,no link,non-devreg,non-CNS,housekeeping,26805,958,4,26,-0.02
DIS3L,no link,non-devreg,non-CNS,luxury,40317,1054,4,71,-0.26
DIS3L2,no link,non-devreg,non-CNS,housekeeping,375616,885,6,589,-0.28
DISC1,asd-linked,Devreg,CNS,luxury,414459,886,46,575,0.2
DISP1,no link,non-devreg,non-CNS,luxury,190907,1524,2,261,0.37
DISP2,no link,non-devreg,non-CNS,luxury,12823,1401,2,9,0.48
DIXDC1,no link,Devreg,CNS,luxury,45275,472,6,71,NA
DKC1,no link,non-devreg,non-CNS,housekeeping,14934,514,6,15,0.1
DKK1,no link,Devreg,CNS,luxury,3377,266,2,0,0.42
DKK2,no link,non-devreg,non-CNS,luxury,114495,259,2,120,0.08
DKK3,no link,non-devreg,non-CNS,luxury,46087,350,6,65,0.73
DKK4,no link,Devreg,non-CNS,luxury,3089,224,2,2,-0.41
DKKL1,no link,Devreg,non-CNS,luxury,11332,242,6,25,1.64
DLAT,no link,non-devreg,non-CNS,luxury,39465,647,2,63,0.36
DLC1,no link,Devreg,CNS,luxury,431558,1528,8,584,-0.44
DLD,no link,non-devreg,non-CNS,housekeeping,30058,509,8,43,-0.11
DLEC1,no link,non-devreg,non-CNS,luxury,83533,1778,4,136,0.16
DLEU7,no link,non-devreg,non-CNS,luxury,131127,160,2,171,NA
DLG1,no link,Devreg,non-CNS,housekeeping,256017,926,12,424,0.4
DLG2,no link,non-devreg,non-CNS,luxury,2172259,975,12,3314,-1.6
DLG3,no link,non-devreg,non-CNS,luxury,60635,817,6,80,-0.25
DLG4,asd-linked,non-devreg,non-CNS,luxury,27719,721,4,36,-0.67
DLG5,no link,non-devreg,CNS,luxury,135800,1919,2,230,-2.37
DLGAP1,no link,non-devreg,non-CNS,luxury,959237,977,16,1409,-1.59
DLGAP2,no link,non-devreg,non-CNS,luxury,207111,975,4,159,-1.61
DLGAP3,no link,non-devreg,non-CNS,luxury,39948,979,2,70,-0.87
DLGAP4,no link,non-devreg,non-CNS,housekeeping,161593,989,6,404,-0.72
DLGAP5,no link,non-devreg,non-CNS,luxury,43563,846,4,88,-0.22
DLK1,no link,non-devreg,non-CNS,luxury,8266,383,2,4,0.55
DLK2,no link,Devreg,non-CNS,luxury,5697,383,8,7,-0.16
DLL1,asd-linked,Devreg,non-CNS,luxury,8404,723,2,3,-1.1
DLL3,no link,Devreg,non-CNS,luxury,9565,618,4,13,NA
DLL4,no link,Devreg,CNS,luxury,9728,685,2,5,-1.35
DLST,no link,non-devreg,non-CNS,housekeeping,21857,453,4,30,-0.71
DLX1,no link,Devreg,CNS,luxury,4194,255,4,0,-0.21
DLX2,no link,Devreg,CNS,luxury,3313,328,2,0,-0.16
DLX3,no link,non-devreg,non-CNS,luxury,5220,287,2,3,-0.32
DLX4,no link,non-devreg,non-CNS,luxury,5762,240,4,1,0.35
DLX5,no link,Devreg,non-CNS,luxury,4442,289,2,0,-0.25
DLX6,asd-linked,non-devreg,non-CNS,luxury,5063,293,2,0,-0.16
DMAP1,no link,non-devreg,non-CNS,housekeeping,7227,467,6,10,-0.76
DMBT1,no link,non-devreg,non-CNS,luxury,83072,2413,6,83,4.22
DMBX1,no link,non-devreg,CNS,luxury,7219,382,4,5,-0.25
DMC1,no link,non-devreg,non-CNS,luxury,51248,340,4,121,-0.14
DMD,asd-linked,Devreg,non-CNS,luxury,2092329,3685,34,2738,-0.84
DMGDH,no link,non-devreg,non-CNS,luxury,72021,866,2,112,0.16
DMKN,no link,non-devreg,non-CNS,luxury,16442,476,18,18,0.45
DMP1,no link,non-devreg,non-CNS,luxury,14059,513,4,15,0.51
DMPK,no link,Devreg,non-CNS,luxury,12840,629,14,15,-0.77
DMRT1,no link,Devreg,non-CNS,luxury,127401,373,2,197,-0.42
DMRT2,no link,Devreg,non-CNS,luxury,6935,561,6,1,NA
DMRT3,no link,Devreg,CNS,luxury,14765,472,2,7,0.64
DMRTA1,no link,non-devreg,non-CNS,luxury,5633,504,2,1,NA
DMRTA2,no link,Devreg,CNS,luxury,5897,542,2,0,NA
DMRTB1,no link,non-devreg,non-CNS,luxury,8087,342,2,13,NA
DMRTC1,no link,non-devreg,non-CNS,luxury,3764,192,2,4,NA
DMRTC1B,no link,non-devreg,non-CNS,luxury,3761,192,2,4,NA
DMRTC2,no link,non-devreg,non-CNS,luxury,7312,367,2,16,-0.51
DMTF1,no link,non-devreg,non-CNS,luxury,43972,760,6,40,-0.11
DMTN,no link,Devreg,non-CNS,luxury,27709,405,16,42,-0.36
DMWD,no link,non-devreg,non-CNS,luxury,9797,674,2,18,-0.56
DMXL1,no link,non-devreg,non-CNS,luxury,177739,3027,6,270,-0.82
DMXL2,asd-linked,non-devreg,non-CNS,luxury,175047,3037,6,245,-1.88
DNA2,no link,non-devreg,non-CNS,luxury,57910,1060,2,139,NA
DNAAF1,no link,non-devreg,non-CNS,luxury,32660,725,2,83,2.75
DNAAF2,no link,non-devreg,non-CNS,housekeeping,10057,837,4,17,NA
DNAAF3,no link,non-devreg,non-CNS,luxury,8062,608,8,15,0.67
DNAAF5,no link,non-devreg,non-CNS,housekeeping,59779,855,2,61,-0.57
DNAH1,no link,non-devreg,non-CNS,luxury,84179,4265,2,105,-0.36
DNAH10,no link,non-devreg,non-CNS,luxury,173226,4471,2,333,1.33
DNAH11,no link,non-devreg,non-CNS,luxury,358354,4516,2,500,NA
DNAH12,no link,non-devreg,non-CNS,luxury,46341,457,4,109,0.84
DNAH14,no link,non-devreg,non-CNS,luxury,469641,4515,6,620,1.39
DNAH17,no link,non-devreg,non-CNS,luxury,153699,4462,2,241,NA
DNAH2,no link,non-devreg,non-CNS,luxury,114020,4427,4,228,-2.39
DNAH3,no link,non-devreg,non-CNS,luxury,226287,4116,2,541,-1.47
DNAH5,asd-linked,non-devreg,CNS,luxury,254153,4624,2,325,-0.18
DNAH6,no link,non-devreg,non-CNS,luxury,303135,4158,2,409,2.02
DNAH7,no link,non-devreg,non-CNS,luxury,331110,4024,2,452,5.09
DNAH8,no link,non-devreg,non-CNS,luxury,315458,4707,2,493,NA
DNAH9,no link,non-devreg,non-CNS,luxury,371318,4486,4,636,0.46
DNAI1,no link,non-devreg,non-CNS,luxury,62172,699,4,107,-0.31
DNAI2,no link,non-devreg,non-CNS,luxury,40638,605,4,102,0.01
DNAJA1,no link,non-devreg,non-CNS,luxury,13854,397,2,19,-0.56
DNAJA2,no link,non-devreg,non-CNS,housekeeping,18352,412,2,30,-0.32
DNAJA3,no link,non-devreg,non-CNS,housekeeping,30970,480,6,65,-0.64
DNAJA4,no link,non-devreg,non-CNS,luxury,18052,426,6,19,0.64
DNAJB1,no link,non-devreg,non-CNS,luxury,3620,340,4,0,-1.07
DNAJB11,no link,non-devreg,non-CNS,housekeeping,15638,358,2,14,-0.05
DNAJB12,no link,non-devreg,non-CNS,housekeeping,22320,409,4,32,-0.11
DNAJB13,no link,non-devreg,non-CNS,luxury,19969,316,2,45,0.4
DNAJB14,no link,non-devreg,non-CNS,luxury,50477,379,6,81,-0.29
DNAJB2,no link,non-devreg,non-CNS,luxury,7583,324,4,9,-0.14
DNAJB3,no link,non-devreg,non-CNS,luxury,1266,145,2,0,NA
DNAJB4,no link,non-devreg,non-CNS,luxury,12360,337,2,12,-0.32
DNAJB5,no link,non-devreg,non-CNS,luxury,8793,462,6,3,-0.43
DNAJB6,no link,non-devreg,non-CNS,luxury,80424,326,4,110,-0.14
DNAJB7,no link,non-devreg,non-CNS,luxury,2577,309,2,3,0.69
DNAJB8,no link,non-devreg,non-CNS,luxury,4817,232,2,3,-0.38
DNAJB9,no link,non-devreg,non-CNS,housekeeping,5106,223,2,1,0.19
DNAJC1,no link,non-devreg,non-CNS,luxury,247174,554,2,429,-0.56
DNAJC10,no link,non-devreg,non-CNS,housekeeping,63983,793,4,65,0.71
DNAJC11,no link,non-devreg,non-CNS,housekeeping,67739,559,2,136,-0.16
DNAJC12,no link,non-devreg,non-CNS,luxury,41511,198,4,87,0.31
DNAJC13,no link,non-devreg,non-CNS,luxury,121324,2243,2,133,0.17
DNAJC14,no link,non-devreg,non-CNS,housekeeping,71445,893,2,149,-0.34
DNAJC15,no link,non-devreg,non-CNS,luxury,85945,150,2,168,0.17
DNAJC16,no link,non-devreg,non-CNS,luxury,44877,782,4,99,-1.26
DNAJC17,no link,non-devreg,non-CNS,housekeeping,39610,304,2,85,0.37
DNAJC18,no link,non-devreg,non-CNS,luxury,29323,358,2,66,-0.71
DNAJC19,no link,non-devreg,non-CNS,housekeeping,6065,116,4,7,-0.08
DNAJC2,no link,non-devreg,non-CNS,housekeeping,32400,621,4,61,-0.07
DNAJC21,no link,non-devreg,non-CNS,housekeeping,29372,531,4,35,-0.15
DNAJC22,no link,non-devreg,non-CNS,luxury,4645,341,4,5,-0.38
DNAJC24,no link,non-devreg,non-CNS,luxury,63006,149,2,81,0.39
DNAJC25,no link,non-devreg,non-CNS,luxury,23000,360,2,21,NA
DNAJC25-GNG10,no link,non-devreg,non-CNS,luxury,38895,153,2,42,NA
DNAJC27,no link,non-devreg,non-CNS,luxury,28459,273,4,39,-0.12
DNAJC28,no link,non-devreg,non-CNS,luxury,3786,388,4,6,0.28
DNAJC3,no link,non-devreg,non-CNS,housekeeping,117851,504,2,188,-0.47
DNAJC30,no link,non-devreg,non-CNS,luxury,2534,226,2,1,0.42
DNAJC4,no link,non-devreg,non-CNS,housekeeping,4001,241,2,3,0.06
DNAJC5,no link,non-devreg,non-CNS,housekeeping,40930,198,2,87,-0.34
DNAJC5B,no link,non-devreg,non-CNS,luxury,78965,199,2,96,0.08
DNAJC5G,no link,non-devreg,non-CNS,luxury,6008,189,6,9,0.35
DNAJC6,no link,non-devreg,non-CNS,luxury,106335,970,6,194,-0.66
DNAJC7,no link,non-devreg,non-CNS,housekeeping,41277,494,4,77,-0.43
DNAJC8,no link,non-devreg,non-CNS,housekeeping,32753,253,2,85,-0.05
