symbol,gi,protlen,transcripts,length,introns,mcs_ds,dmcs_ds,asd,DevReg,cns,housekeeping,RVIS,te,teLINE_L1,teLINE_L2,teSINE_MIR,teSINE_Alu,teL1_L1M,teL1_L1PA,dte,dteLINE_L1,dteLINE_L2,dteSINE_MIR,dteSINE_Alu,dteL1_L1M,dteL1_L1PA
BIRC6,57448,4857,2,261870,72,4010,15.31294154,no link,non-devreg,non-CNS,luxury,-4.33,450,102,18,25,242,94,1,1.718409898,0.389506244,0.068736396,0.095467217,0.924122656,0.358956734,0.003818689
BIRC7,79444,298,4,4579,5,25,5.45970736,no link,non-devreg,non-CNS,luxury,0.64,1,0,0,1,0,0,0,0.218388294,0,0,0.218388294,0,0,0
BIRC8,112401,236,2,2022,0,0,0,no link,non-devreg,non-CNS,luxury,1.86,1,1,0,0,0,1,0,0.494559842,0.494559842,0,0,0,0.494559842,0
BIVM,54841,274,4,21152,5,0,0,no link,non-devreg,non-CNS,luxury,-0.18,39,11,1,1,15,10,0,1.843797277,0.520045386,0.047276853,0.047276853,0.709152799,0.472768533,0
BIVM-ERCC5,100533467,1640,2,68856,21,1417,20.57917974,no link,non-devreg,non-CNS,housekeeping,NA,114,29,16,14,31,27,1,1.655629139,0.421168816,0.232369002,0.203322877,0.450214941,0.392122691,0.014523063
BLCAP,10904,87,10,10265,0,0,0,no link,non-devreg,non-CNS,luxury,0.04,2,0,1,1,0,0,0,0.194836824,0,0.097418412,0.097418412,0,0,0
BLID,414899,108,2,862,0,0,0,no link,non-devreg,non-CNS,luxury,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK,640,505,2,70588,11,498,7.055023517,no link,non-devreg,non-CNS,luxury,-0.35,116,36,9,21,24,32,2,1.643338811,0.5100017,0.127500425,0.297500992,0.340001133,0.453334844,0.028333428
BLM,641,1417,8,98108,20,1481,15.09560892,no link,non-devreg,non-CNS,luxury,-0.14,244,70,18,15,104,65,0,2.487055082,0.713499409,0.183471277,0.15289273,1.060056265,0.662535165,0
BLMH,642,455,2,43972,10,1314,29.8826526,no link,non-devreg,non-CNS,housekeeping,-0.09,58,8,4,10,28,7,0,1.319021195,0.181933958,0.090966979,0.227417447,0.636768853,0.159192213,0
BLNK,29760,456,10,79879,15,934,11.69268519,no link,non-devreg,non-CNS,luxury,-0.38,122,14,12,37,29,13,1,1.527310056,0.175265088,0.150227219,0.463200591,0.363049112,0.162746154,0.012518935
BLOC1S1,2647,153,2,3674,2,56,15.24224279,no link,non-devreg,non-CNS,housekeeping,-0.16,1,0,0,1,0,0,0,0.272182907,0,0,0.272182907,0,0,0
BLOC1S2,282991,142,12,13435,3,110,8.18756978,no link,non-devreg,non-CNS,housekeeping,0.15,21,1,3,3,12,1,0,1.563081504,0.074432453,0.223297358,0.223297358,0.893189431,0.074432453,0
BLOC1S3,388552,202,2,3056,0,0,0,no link,non-devreg,non-CNS,housekeeping,NA,3,0,0,1,2,0,0,0.981675393,0,0,0.327225131,0.654450262,0,0
BLOC1S4,55330,217,2,1546,0,0,0,no link,non-devreg,non-CNS,housekeeping,NA,1,0,0,0,1,0,0,0.64683053,0,0,0,0.64683053,0,0
BLOC1S5,63915,123,6,50848,4,337,6.627595972,no link,Devreg,non-CNS,luxury,-0.21,88,20,8,6,31,17,1,1.730648206,0.393329138,0.157331655,0.117998741,0.609660164,0.334329767,0.019666457
BLOC1S6,26258,172,2,22493,3,233,10.35877829,no link,Devreg,non-CNS,housekeeping,0.13,37,9,1,3,16,8,1,1.644956209,0.400124483,0.044458276,0.133374828,0.711332415,0.355666207,0.044458276
BLVRA,644,296,4,48670,6,0,0,no link,non-devreg,non-CNS,luxury,0.06,89,17,6,12,35,16,1,1.828641874,0.349291144,0.123279227,0.246558455,0.719128827,0.328744607,0.020546538
BLVRB,645,206,2,18035,3,79,4.3803715,no link,non-devreg,non-CNS,luxury,0.31,58,4,9,5,38,4,0,3.215968949,0.221790962,0.499029665,0.277238703,2.107014139,0.221790962,0
BLZF1,8548,400,2,28587,6,445,15.56651625,no link,non-devreg,non-CNS,housekeeping,1.28,44,10,8,7,8,9,1,1.539161157,0.349809354,0.279847483,0.244866548,0.279847483,0.314828419,0.034980935
BMF,90427,184,8,20995,3,406,19.3379376,no link,non-devreg,non-CNS,luxury,-0.23,12,1,0,6,2,1,0,0.571564658,0.047630388,0,0.285782329,0.095260776,0.047630388,0
BMI1,648,326,2,10276,8,0,0,no link,non-devreg,CNS,housekeeping,-0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMP1,649,986,4,47188,18,1087,23.0355175,asd-linked,Devreg,non-CNS,luxury,-1.96,75,2,11,25,30,2,0,1.589387132,0.042383657,0.233110113,0.529795711,0.635754853,0.042383657,0
BMP10,27302,424,2,6037,0,0,0,no link,Devreg,non-CNS,luxury,0.09,9,1,2,2,0,1,0,1.490806692,0.165645188,0.331290376,0.331290376,0,0.165645188,0
BMP15,9210,392,2,5907,0,0,0,no link,non-devreg,non-CNS,luxury,0.6,8,0,2,3,3,0,0,1.354325377,0,0.338581344,0.507872016,0.507872016,0,0
BMP2,650,396,2,12166,1,0,0,no link,Devreg,CNS,luxury,-0.27,4,0,0,1,1,0,0,0.328785139,0,0,0.082196285,0.082196285,0,0
BMP2K,55589,1161,4,135810,14,1279,9.417568662,no link,Devreg,non-CNS,luxury,0.27,207,41,27,20,49,27,3,1.524188204,0.30189235,0.198807157,0.147264561,0.360798174,0.198807157,0.022089684
BMP3,651,472,2,26567,1,0,0,no link,non-devreg,non-CNS,luxury,1.07,20,1,5,6,3,1,0,0.752813641,0.037640682,0.18820341,0.225844092,0.112922046,0.037640682,0
BMP4,652,408,6,4816,2,65,13.49667774,no link,Devreg,CNS,luxury,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMP5,653,454,2,120138,5,1022,8.50688375,no link,Devreg,non-CNS,luxury,0.35,134,28,16,22,18,19,6,1.115383975,0.233065308,0.133180176,0.183122742,0.149827698,0.158151459,0.049942566
BMP6,654,513,2,154951,5,789,5.091932288,no link,Devreg,non-CNS,luxury,-0.34,193,32,19,30,58,29,2,1.245555046,0.206516899,0.122619409,0.193609593,0.374311879,0.18715594,0.012907306
BMP7,655,431,2,97899,5,351,3.585327736,no link,Devreg,non-CNS,luxury,-0.51,164,19,23,40,29,18,0,1.675195865,0.19407757,0.234936005,0.408584357,0.296223659,0.183862961,0
BMP8A,353500,402,2,38224,5,328,8.580996233,no link,non-devreg,non-CNS,luxury,NA,62,9,7,19,20,9,0,1.622017581,0.235454165,0.183131017,0.497069904,0.523231478,0.235454165,0
BMP8B,656,402,2,30631,5,321,10.47957951,no link,non-devreg,non-CNS,luxury,NA,44,2,6,19,12,2,0,1.436453266,0.06529333,0.195879991,0.620286638,0.391759982,0.06529333,0
BMPER,168667,685,2,250962,14,5809,23.14693061,no link,non-devreg,non-CNS,luxury,0.07,272,36,51,48,36,32,2,1.083829424,0.143448012,0.203218017,0.191264016,0.143448012,0.127509344,0.007969334
BMPR1A,657,532,2,168550,11,958,5.683773361,no link,Devreg,CNS,luxury,-0.4,373,88,28,33,147,80,1,2.212993177,0.522100267,0.166122812,0.1957876,0.872144764,0.474636606,0.005932958
BMPR1B,658,532,8,106772,9,1155,10.81744278,no link,Devreg,non-CNS,luxury,-0.76,105,21,15,26,21,12,5,0.983403889,0.196680778,0.14048627,0.243509534,0.196680778,0.112389016,0.046828757
BMPR2,659,1038,2,191425,11,1095,5.720255975,no link,Devreg,CNS,luxury,-0.93,427,81,16,13,252,71,6,2.230638631,0.423142223,0.083583649,0.067911715,1.316442471,0.370902442,0.031343868
BMS1,9790,1282,2,52432,21,970,18.50015258,no link,non-devreg,non-CNS,housekeeping,0.1,89,36,8,5,27,35,1,1.69743668,0.686603601,0.152578578,0.095361611,0.514952701,0.667531279,0.019072322
BMX,660,675,4,55753,17,1327,23.80140979,no link,non-devreg,non-CNS,luxury,-0.12,73,19,4,19,8,16,2,1.309346582,0.340788836,0.071745018,0.340788836,0.143490036,0.286980073,0.035872509
BNC1,646,994,4,28814,3,254,8.815159298,no link,non-devreg,non-CNS,luxury,-1.28,44,5,6,6,8,5,0,1.527035469,0.173526758,0.208232109,0.208232109,0.277642813,0.173526758,0
BNC2,54796,1099,2,461286,5,7753,16.80736029,no link,non-devreg,non-CNS,luxury,0.63,483,43,55,89,210,38,1,1.047072749,0.093217657,0.119231887,0.192938871,0.455249021,0.082378394,0.002167852
BNIP1,662,228,8,19946,4,235,11.78181089,no link,non-devreg,non-CNS,housekeeping,-0.12,36,7,3,1,19,7,0,1.804873158,0.350947558,0.150406096,0.050135365,0.952571944,0.350947558,0
BNIP2,663,435,2,26581,8,464,17.45607765,no link,Devreg,non-CNS,housekeeping,-0.34,28,3,1,1,23,3,0,1.053383996,0.112862571,0.037620857,0.037620857,0.865279711,0.112862571,0
BNIP3,664,194,2,14232,4,67,4.707700956,no link,Devreg,non-CNS,luxury,-0.01,16,3,1,1,6,3,0,1.124227094,0.21079258,0.070264193,0.070264193,0.42158516,0.21079258,0
BNIP3L,665,219,2,30122,4,331,10.98864617,no link,non-devreg,non-CNS,luxury,-0.21,34,4,2,6,16,3,1,1.128743111,0.132793307,0.066396654,0.199189961,0.531173229,0.09959498,0.033198327
BNIPL,149428,357,4,11048,8,189,17.10716872,no link,non-devreg,non-CNS,luxury,0.53,25,1,5,3,16,1,0,2.262853005,0.09051412,0.452570601,0.271542361,1.448225923,0.09051412,0
BOC,91653,1114,6,74931,18,1667,22.24713403,no link,Devreg,non-CNS,luxury,-1.63,71,11,14,15,10,9,0,0.947538402,0.146801724,0.186838558,0.200184169,0.133456113,0.120110502,0
BOD1,91272,185,4,9519,2,27,2.836432398,no link,non-devreg,non-CNS,housekeeping,NA,12,3,1,3,0,3,0,1.260636621,0.315159155,0.105053052,0.315159155,0,0.315159155,0
BOD1L1,259282,3051,2,58963,24,1202,20.38566559,no link,non-devreg,non-CNS,luxury,-0.63,79,5,10,18,16,5,0,1.339823279,0.084798942,0.169597883,0.30527619,0.271356613,0.084798942,0
BOD1L2,284257,172,2,3347,0,0,0,no link,non-devreg,non-CNS,luxury,NA,5,0,3,1,0,0,0,1.493875112,0,0.896325067,0.298775022,0,0,0
BOK,666,212,2,15408,3,110,7.139148494,no link,non-devreg,CNS,luxury,NA,15,4,2,1,6,4,0,0.973520249,0.2596054,0.1298027,0.06490135,0.3894081,0.2596054,0
BOLA1,51027,137,2,1194,0,0,0,no link,non-devreg,non-CNS,housekeeping,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLA2,552900,123,2,1372,1,0,0,no link,non-devreg,non-CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLA2B,654483,152,2,1372,1,0,0,no link,non-devreg,non-CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLA3,388962,107,4,12512,2,59,4.715473146,no link,non-devreg,non-CNS,housekeeping,0.01,22,3,4,6,7,3,0,1.75831202,0.239769821,0.319693095,0.479539642,0.559462916,0.239769821,0
BOLL,66037,295,10,59336,9,687,11.57813132,no link,non-devreg,non-CNS,luxury,0.17,65,32,7,6,11,18,10,1.095456384,0.539301604,0.117972226,0.101119051,0.185384927,0.303357152,0.168531751
BOP1,23246,746,2,29065,14,399,13.72785137,no link,non-devreg,non-CNS,luxury,NA,12,0,0,0,11,0,0,0.41286771,0,0,0,0.378462068,0,0
BORA,79866,559,6,28287,10,553,19.54961643,no link,non-devreg,non-CNS,luxury,-0.03,45,8,6,9,9,6,1,1.59083678,0.282815428,0.212111571,0.318167356,0.318167356,0.212111571,0.035351928
BPGM,669,259,6,33037,1,0,0,no link,non-devreg,non-CNS,housekeeping,-0.34,49,7,9,7,9,6,0,1.483185519,0.211883646,0.27242183,0.211883646,0.27242183,0.181614553,0
BPHL,670,291,4,34507,5,507,14.69267105,no link,non-devreg,non-CNS,luxury,0.73,52,8,3,9,24,8,0,1.506940621,0.231837019,0.086938882,0.260816646,0.695511056,0.231837019,0
BPI,671,487,2,33354,13,324,9.713977334,no link,non-devreg,non-CNS,luxury,2.6,85,8,21,28,12,6,0,2.54841998,0.239851292,0.629609642,0.839479523,0.359776938,0.179888469,0
BPIFA1,51297,256,6,7314,7,104,14.21930544,no link,non-devreg,non-CNS,luxury,-0.29,9,0,0,7,0,0,0,1.230516817,0,0,0.957068635,0,0,0
BPIFA2,140683,249,2,13264,7,217,16.36007238,no link,non-devreg,non-CNS,luxury,0.75,30,7,6,8,6,3,2,2.261761158,0.52774427,0.452352232,0.603136309,0.452352232,0.226176116,0.150784077
BPIFA3,128861,254,4,10425,5,52,4.988009592,no link,non-devreg,non-CNS,luxury,1,25,8,5,6,4,8,0,2.398081535,0.767386091,0.479616307,0.575539568,0.383693046,0.767386091,0
BPIFB1,92747,484,2,26744,14,375,14.02183667,no link,non-devreg,non-CNS,luxury,1.49,56,0,12,16,11,0,0,2.09392761,0,0.448698774,0.598265031,0.411307209,0,0
BPIFB2,80341,458,2,16132,14,239,14.81527399,no link,non-devreg,non-CNS,luxury,-0.06,25,1,4,13,2,1,0,1.549714852,0.061988594,0.247954376,0.805851723,0.123977188,0.061988594,0
BPIFB3,359710,476,2,18205,13,235,12.90854161,no link,non-devreg,non-CNS,luxury,1.14,34,0,10,15,3,0,0,1.867618786,0,0.549299643,0.823949464,0.164789893,0,0
BPIFB4,149954,614,2,30240,14,579,19.1468254,no link,non-devreg,non-CNS,luxury,0.94,77,9,11,38,13,9,0,2.546296296,0.297619048,0.363756614,1.256613757,0.42989418,0.297619048,0
BPIFB6,128859,453,2,12400,13,185,14.91935484,no link,non-devreg,non-CNS,luxury,1.07,26,0,5,14,1,0,0,2.096774194,0,0.403225806,1.129032258,0.080645161,0,0
BPIFC,254240,507,2,43540,13,751,17.24850712,no link,non-devreg,non-CNS,luxury,0.89,103,5,15,28,34,3,2,2.36564079,0.114836932,0.344510795,0.643086817,0.780891135,0.068902159,0.045934773
BPNT1,10380,308,8,32368,7,435,13.43919921,no link,non-devreg,non-CNS,housekeeping,0.46,69,5,2,5,44,4,1,2.131735047,0.154473554,0.061789422,0.154473554,1.359367276,0.123578843,0.030894711
BPTF,2186,2920,4,158715,26,1701,10.7173235,no link,non-devreg,CNS,housekeeping,-2.55,341,77,16,18,191,69,3,2.148505182,0.485146331,0.100809627,0.113410831,1.203414926,0.434741518,0.018901805
BPY2,9083,106,2,21201,7,0,0,no link,non-devreg,non-CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPY2B,442867,106,2,21202,7,0,0,no link,non-devreg,non-CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPY2C,442868,106,2,21202,7,0,0,no link,non-devreg,non-CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAF,673,766,2,190752,16,1972,10.33803053,no link,Devreg,non-CNS,luxury,-0.6,386,101,40,21,127,88,8,2.023569871,0.529483308,0.20969636,0.110090589,0.665785942,0.461331991,0.041939272
BRAP,8315,592,2,43841,10,498,11.35922994,no link,non-devreg,non-CNS,luxury,-0.51,89,4,12,5,67,4,0,2.030063183,0.091238795,0.273716384,0.114048493,1.528249812,0.091238795,0
BRAT1,221927,821,2,17949,12,171,9.526993147,no link,non-devreg,non-CNS,housekeeping,0.77,34,11,0,3,20,11,0,1.894255947,0.612847512,0,0.167140231,1.114268204,0.612847512,0
BRCA1,672,1884,10,81189,22,1467,18.06895023,no link,Devreg,non-CNS,luxury,0.46,185,12,16,9,138,10,1,2.278633805,0.147803274,0.197071032,0.110852455,1.699737649,0.123169395,0.012316939
BRCA2,675,3418,2,84193,25,864,10.26213581,no link,Devreg,CNS,luxury,3.73,152,29,17,15,55,12,1,1.805375744,0.344446688,0.201917024,0.17816208,0.65326096,0.142529664,0.011877472
BRCC3,79184,316,6,51655,10,439,8.498693253,no link,non-devreg,non-CNS,luxury,0.21,102,48,10,6,16,43,0,1.974639435,0.929242087,0.193592101,0.116155261,0.309747362,0.832446036,0
BRD2,6046,754,10,8422,10,194,23.03490857,no link,non-devreg,non-CNS,housekeeping,-0.02,5,0,0,0,1,0,0,0.593683211,0,0,0,0.118736642,0,0
BRD3,8019,726,2,37696,10,353,9.364388795,no link,non-devreg,non-CNS,luxury,-0.71,32,6,5,5,14,5,1,0.848896435,0.159168081,0.132640068,0.132640068,0.37139219,0.132640068,0.026528014
BRD4,23476,1362,4,42962,18,698,16.24691588,no link,non-devreg,non-CNS,housekeeping,-1.48,27,2,4,3,12,2,0,0.628462362,0.046552768,0.093105535,0.069829151,0.279316605,0.046552768,0
BRD7,29117,652,4,49917,15,743,14.88470862,no link,non-devreg,non-CNS,housekeeping,0.35,66,12,8,11,13,8,3,1.322194843,0.240399062,0.160266042,0.220365807,0.260432318,0.160266042,0.060099766
BRD8,10902,1235,12,38900,25,1021,26.24678663,no link,non-devreg,non-CNS,luxury,0.16,71,6,3,7,47,6,0,1.825192802,0.154241645,0.077120823,0.179948586,1.208226221,0.154241645,0
BRD9,65980,597,4,29090,14,435,14.9535923,no link,non-devreg,non-CNS,housekeeping,-0.8,25,5,0,0,4,5,0,0.859401856,0.171880371,0,0,0.137504297,0.171880371,0
BRDT,676,951,14,65058,17,814,12.51191245,no link,non-devreg,non-CNS,luxury,0.78,133,21,13,4,76,16,5,2.044329675,0.322788896,0.199821698,0.061483599,1.168188386,0.245934397,0.076854499
BRE,9577,415,12,448286,11,8918,19.8935501,no link,non-devreg,non-CNS,housekeeping,0.35,691,162,98,100,186,134,17,1.541426679,0.361376443,0.218610441,0.223071878,0.414913693,0.298916317,0.037922219
BRF1,2972,677,14,91707,16,477,5.201347771,no link,non-devreg,non-CNS,housekeeping,-2.06,132,38,2,2,79,38,0,1.439366679,0.414363135,0.021808586,0.021808586,0.861439149,0.414363135,0
BRF2,55290,419,2,6034,2,46,7.62346702,no link,non-devreg,non-CNS,housekeeping,-0.49,10,0,1,2,7,0,0,1.657275439,0,0.165727544,0.331455088,1.160092807,0,0
BRI3,25798,125,4,9861,1,0,0,no link,non-devreg,non-CNS,luxury,NA,7,0,1,0,4,0,0,0.709867153,0,0.101409593,0,0.405638373,0,0
BRI3BP,140707,251,2,32156,1,0,0,no link,non-devreg,non-CNS,luxury,-0.36,90,14,1,7,46,14,0,2.798855579,0.435377535,0.031098395,0.217688767,1.430526185,0.435377535,0
BRICD5,283870,228,2,1816,4,30,16.51982379,no link,non-devreg,non-CNS,luxury,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRINP1,1620,761,2,202832,6,1622,7.996765796,no link,Devreg,non-CNS,luxury,-0.93,381,38,82,130,53,30,8,1.87840183,0.187347164,0.404275459,0.640924509,0.261299992,0.147905656,0.039441508
BRINP2,57795,783,2,110926,6,1159,10.44840705,no link,Devreg,non-CNS,luxury,-1.15,161,22,33,47,16,18,1,1.451418062,0.198330418,0.297495628,0.423705894,0.144240304,0.162270342,0.009015019
BRINP3,339479,766,2,379963,6,2429,6.392727713,no link,Devreg,non-CNS,luxury,-1.16,435,98,52,66,64,73,19,1.144848314,0.25791985,0.136855431,0.173701124,0.168437453,0.19212397,0.050004869
BRIP1,83990,1249,2,184374,18,2467,13.38041155,no link,non-devreg,non-CNS,luxury,-0.64,352,131,21,23,110,107,9,1.909162897,0.710512328,0.113898923,0.124746439,0.596613405,0.580342131,0.048813824
BRIX1,55299,353,2,9968,8,222,22.27126806,no link,non-devreg,non-CNS,housekeeping,0.08,11,1,3,0,7,0,1,1.1035313,0.100321027,0.300963082,0,0.702247191,0,0.100321027
BRK1,55845,75,2,11542,1,0,0,no link,non-devreg,non-CNS,housekeeping,0.15,31,1,3,1,18,1,0,2.685843008,0.086640097,0.259920291,0.086640097,1.559521747,0.086640097,0
BRMS1,25855,290,4,7779,8,93,11.95526417,no link,non-devreg,non-CNS,housekeeping,-0.14,11,0,5,4,2,0,0,1.414063504,0,0.642756138,0.514204911,0.257102455,0,0
BRMS1L,84312,323,2,45573,8,501,10.99335133,no link,non-devreg,non-CNS,luxury,-0.01,92,34,4,4,43,25,2,2.018739166,0.746055779,0.087771268,0.087771268,0.943541132,0.548570425,0.043885634
BROX,148362,411,8,20201,11,567,28.06791743,no link,non-devreg,non-CNS,luxury,-0.12,25,3,2,3,13,2,1,1.237562497,0.1485075,0.099005,0.1485075,0.643532498,0.099005,0.0495025
BRPF1,7862,1220,4,16266,12,447,27.48063445,no link,non-devreg,non-CNS,housekeeping,-2.26,20,0,6,10,3,0,0,1.229558588,0,0.368867577,0.614779294,0.184433788,0,0
BRPF3,27154,1205,2,36018,11,902,25.04303404,no link,non-devreg,non-CNS,housekeeping,-1.06,53,4,8,16,8,4,0,1.471486479,0.111055583,0.222111167,0.444222333,0.222111167,0.111055583,0
BRS3,680,399,2,4474,1,0,0,no link,non-devreg,non-CNS,luxury,-0.36,5,0,0,2,0,0,0,1.117568172,0,0,0.447027269,0,0,0
BRSK1,84446,778,2,28370,17,497,17.51850546,no link,non-devreg,non-CNS,luxury,-0.8,56,5,2,9,32,5,0,1.973916109,0.17624251,0.070497004,0.317236517,1.127952062,0.17624251,0
BRSK2,9024,766,10,51538,18,495,9.604563623,no link,non-devreg,non-CNS,luxury,-1.51,20,7,1,1,4,6,0,0.388063177,0.135822112,0.019403159,0.019403159,0.077612635,0.116418953,0
BRWD1,54014,2320,6,128309,40,1551,12.0880063,no link,Devreg,non-CNS,luxury,-0.82,220,71,6,5,104,66,5,1.714610822,0.553351674,0.046762113,0.038968428,0.810543298,0.514383247,0.038968428
BRWD3,254065,1802,2,140247,39,2905,20.71345555,no link,Devreg,non-CNS,luxury,-0.49,173,39,19,15,59,27,7,1.233537972,0.278080815,0.135475269,0.106954159,0.42068636,0.192517487,0.049911941
BSCL2,26580,462,6,17446,9,162,9.285796171,no link,non-devreg,non-CNS,luxury,-0.18,36,0,1,2,28,0,0,2.06351026,0,0.057319729,0.114639459,1.604952425,0,0
BSDC1,55108,447,10,29358,9,545,18.56393487,no link,non-devreg,non-CNS,housekeeping,-0.47,73,8,17,12,25,7,1,2.486545405,0.272498127,0.579058519,0.40874719,0.851556646,0.238435861,0.034062266
BSG,682,385,8,11040,7,59,5.344202899,no link,non-devreg,non-CNS,housekeeping,-1.04,4,0,0,0,4,0,0,0.362318841,0,0,0,0.362318841,0,0
BSN,8927,3926,2,117061,10,644,5.50140525,no link,non-devreg,non-CNS,luxury,-3.96,195,62,24,14,72,61,1,1.665798174,0.529638394,0.205021314,0.119595766,0.615063941,0.521095839,0.008542555
BSND,7809,320,2,9849,2,23,2.335262463,no link,non-devreg,non-CNS,luxury,-0.36,25,3,4,17,1,1,0,2.538328764,0.304599452,0.406132602,1.72606356,0.101533151,0.101533151,0
BSPH1,100131137,132,2,24125,4,33,1.367875648,no link,non-devreg,non-CNS,luxury,0.5,50,9,3,3,20,6,3,2.07253886,0.373056995,0.124352332,0.124352332,0.829015544,0.248704663,0.124352332
BSPRY,54836,402,2,21702,4,319,14.69910607,no link,non-devreg,non-CNS,luxury,0.22,56,12,11,12,16,12,0,2.580407336,0.552944429,0.506865727,0.552944429,0.737259239,0.552944429,0
BST1,683,318,2,29224,7,424,14.50862305,no link,non-devreg,non-CNS,luxury,0.86,48,11,4,11,16,10,1,1.642485628,0.376402956,0.136873802,0.376402956,0.547495209,0.342184506,0.034218451
BST2,684,180,2,2630,3,1,0.380228137,no link,non-devreg,non-CNS,luxury,-0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSX,390259,233,2,4023,1,0,0,no link,non-devreg,non-CNS,luxury,0.17,1,0,0,0,1,0,0,0.248570718,0,0,0,0.248570718,0,0
BTAF1,9044,1849,2,106345,36,2072,19.4837557,no link,non-devreg,non-CNS,luxury,-1.72,162,41,13,12,64,39,1,1.523343834,0.385537637,0.122243641,0.112840284,0.601814848,0.366730923,0.009403357
BTBD1,53339,482,4,50926,6,465,9.13089581,no link,non-devreg,non-CNS,luxury,-0.16,121,36,11,13,48,24,7,2.375996544,0.706908063,0.215999686,0.255272356,0.942544084,0.471272042,0.137454346
BTBD10,84280,475,6,75283,7,584,7.757395428,no link,non-devreg,non-CNS,luxury,-0.23,104,24,15,16,27,21,1,1.38145398,0.318797072,0.19924817,0.212531382,0.358646706,0.278947438,0.013283211
BTBD11,121551,1104,4,341223,15,2520,7.385199708,no link,non-devreg,non-CNS,luxury,-0.46,794,78,148,236,109,59,10,2.326924035,0.228589515,0.433733951,0.691629814,0.319439194,0.172907453,0.029306348
BTBD16,118663,506,2,66856,14,1011,15.12205337,no link,non-devreg,non-CNS,luxury,0.6,120,28,19,26,26,25,3,1.794902477,0.418810578,0.284192892,0.388895537,0.388895537,0.373938016,0.044872562
BTBD17,388419,478,2,5404,1,0,0,no link,non-devreg,non-CNS,luxury,NA,7,0,2,1,3,0,0,1.295336788,0,0.370096225,0.185048113,0.555144338,0,0
BTBD18,643376,712,2,8268,1,0,0,no link,non-devreg,non-CNS,luxury,0.17,20,0,4,7,9,0,0,2.418964683,0,0.483792937,0.846637639,1.088534107,0,0
BTBD19,149478,291,2,5648,6,125,22.13172805,no link,non-devreg,non-CNS,luxury,NA,5,0,2,1,2,0,0,0.885269122,0,0.354107649,0.177053824,0.354107649,0,0
BTBD2,55643,525,2,30256,7,110,3.635642517,no link,non-devreg,non-CNS,housekeeping,-0.62,70,6,1,0,49,6,0,2.313590693,0.198307774,0.033051296,0,1.619513485,0.198307774,0
BTBD3,22903,522,12,8679,2,28,3.226178131,no link,non-devreg,CNS,luxury,-0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTBD6,90135,485,2,2552,3,0,0,no link,non-devreg,non-CNS,luxury,-0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTBD7,55727,1132,6,95490,9,1227,12.84951304,no link,Devreg,non-CNS,luxury,-0.95,170,21,17,20,80,16,0,1.78029113,0.219918316,0.178029113,0.209446015,0.837784061,0.167556812,0
BTBD8,284697,378,2,67540,7,757,11.20817293,no link,non-devreg,non-CNS,luxury,0.64,141,21,16,10,55,20,0,2.087651762,0.310926858,0.236896654,0.148060409,0.814332248,0.296120817,0
BTBD9,114781,612,8,471698,9,7296,15.46752371,no link,non-devreg,non-CNS,luxury,-0.96,695,126,110,66,236,105,9,1.473400354,0.267120064,0.233200056,0.139920034,0.50032012,0.222600053,0.019080005
BTC,685,178,2,48435,4,253,5.223495406,no link,Devreg,non-CNS,luxury,0.33,71,18,11,18,9,12,3,1.46588211,0.371632084,0.227108496,0.371632084,0.185816042,0.247754723,0.061938681
BTD,686,543,10,44071,2,100,2.269065826,no link,non-devreg,CNS,housekeeping,0.02,91,39,2,1,26,37,0,2.064849901,0.884935672,0.045381317,0.022690658,0.589957115,0.839554355,0
BTF3,689,206,4,7199,4,166,23.05875816,no link,non-devreg,non-CNS,housekeeping,-0.14,2,0,1,0,1,0,0,0.277816363,0,0.138908182,0,0.138908182,0,0
BTF3L4,91408,158,6,34532,4,371,10.74365806,no link,non-devreg,non-CNS,luxury,0.06,71,5,8,9,44,5,0,2.056063941,0.144793235,0.231669176,0.260627823,1.27418047,0.144793235,0
BTG1,694,171,2,5620,0,0,0,no link,Devreg,non-CNS,luxury,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTG2,7832,158,2,4066,0,0,0,no link,non-devreg,CNS,luxury,-0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTG3,10950,252,4,19301,3,293,15.18056059,no link,non-devreg,non-CNS,luxury,-0.16,22,6,1,4,7,5,1,1.139837314,0.310864722,0.051810787,0.207243148,0.362675509,0.259053935,0.051810787
